id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,backend,N,rtol,atol,status,solver_status,tcritical_s,tmean_s,tail_s,t_end_s,horizon_s,mass_audit_rel,mass_audit_note,max_C_end,mean_C_end,initial_dry_mass_kg,empirical_dry_mass_ratio_end,perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,event_bracket_s,batch_wall_s
t2_q3_fix_cur_inner_d_p100_w200,2,3,False,0.0,current_dry_density,inner,0.1,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,196189.97361473026,125560.80333350431,70629.17028122595,196189.97361473026,259200.0,0.0001554479620807173,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12514100568659586,0.08640707230887533,2.1526821682135195,0.6397275734076843,0.6403262640162158,"[196189.03535227483, 196190.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_m100_c150_s020,2,3,False,0.0,current_dry_density,lowC,-0.1,0.1,0.15,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,214270.4627733985,132925.68955644814,81344.77321695036,214270.4627733985,259200.0,0.00015592604510364605,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12472045879310703,0.08640707230887533,2.1533254369164156,0.34795940608521114,0.34369750449209757,"[214270.03535227483, 214271.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_m050_c150_s020,2,3,False,0.0,current_dry_density,lowC,-0.05,0.1,0.15,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,210548.4672003692,131294.4835846919,79253.98361567731,210548.4672003692,259200.0,0.00015592460976064033,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12451425821509157,0.08640707230887533,2.153636488415647,0.3467523701737847,0.3421984959420952,"[210548.03535227483, 210549.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_p050_c150_s020,2,3,False,0.0,current_dry_density,lowC,0.05,0.1,0.15,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,203342.28412687214,128110.41448290148,75231.86964397065,203342.28412687214,259200.0,0.0001559214586845066,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12409823883334492,0.08640707230887533,2.1542641979941908,0.3444765452156169,0.33920785196349706,"[203342.03535227483, 203343.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_p100_c150_s020,2,3,False,0.0,current_dry_density,lowC,0.1,0.1,0.15,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,199854.4891708198,126556.72859730442,73297.76057351539,199854.4891708198,259200.0,0.00015591951497459,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12388843670129614,0.08640707230887533,2.1545808324962765,0.3433846843448504,0.3377152318345374,"[199854.03535227483, 199855.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_m100_c200_s020,2,3,False,0.0,current_dry_density,lowC,-0.1,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,220890.04592551992,135750.38727577863,85139.6586497413,220890.04592551992,259200.0,0.00015593498441334187,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12431533352588924,0.08640707230887533,2.153936834255598,0.6315853399397025,0.6212858740497543,"[220890.03535227483, 220891.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_m050_c200_s020,2,3,False,0.0,current_dry_density,lowC,-0.05,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,213743.37282448,132662.6609119531,81080.7119125269,213743.37282448,259200.0,0.00015592930492556843,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12431107153437192,0.08640707230887533,2.15394315684535,0.6240667762539442,0.613974035419905,"[213743.03535227483, 213744.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_p050_c200_s020,2,3,False,0.0,current_dry_density,lowC,0.05,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,200364.98020543891,126826.39802718036,73538.58217825856,200364.98020543891,259200.0,0.0001559165727934628,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12430267209909601,0.08640707230887533,2.153955590895261,0.6091124898182932,0.5991688090508533,"[200364.03535227483, 200365.03535227483]",353.4241788107902
t2_q3_fix_cur_lowC_d_p100_c200_s020,2,3,False,0.0,current_dry_density,lowC,0.1,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,194105.96378605955,124068.90904134669,70037.05474471286,194105.96378605955,259200.0,0.00015573360603506327,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12429854832892978,0.08640707230887533,2.1539616804062933,0.601469799040307,0.5916810757432646,"[194104.9970354256, 194105.9970354256]",376.1366449864581
t2_q3_fix_cur_lowC_d_m100_c300_s020,2,3,False,0.0,current_dry_density,lowC,-0.1,0.1,0.3,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,223717.9418401609,138371.7469868378,85346.1948533231,223717.9418401609,259200.0,0.00015575735504369176,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12430399682394908,0.08640707230887533,2.1539539510120016,0.7781861748914789,0.7770289978291407,"[223716.9970354256, 223717.9970354256]",376.1366449864581
t2_q3_fix_cur_lowC_d_m050_c300_s020,2,3,False,0.0,current_dry_density,lowC,-0.05,0.1,0.3,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,215106.57364751358,133926.56028835525,81180.01335915833,215106.57364751358,259200.0,0.0001557543939777967,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12430537040287026,0.08640707230887533,2.1539517648740722,0.7712999259958047,0.7701138223009688,"[215105.9970354256, 215106.9970354256]",376.1366449864581
t2_q3_fix_cur_lowC_d_p050_c300_s020,2,3,False,0.0,current_dry_density,lowC,0.05,0.1,0.3,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,199098.05920638045,125651.36467363196,73446.69453274849,199098.05920638045,259200.0,0.00015574657929805607,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12430844218419422,0.08640707230887533,2.1539468784220297,0.7570192160516793,0.7557582447727041,"[199097.9970354256, 199098.9970354256]",376.1366449864581
t2_q3_fix_cur_lowC_d_p100_c300_s020,2,3,False,0.0,current_dry_density,lowC,0.1,0.1,0.3,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,191663.24003931062,121803.03534292539,69860.20469638523,191663.24003931062,259200.0,0.00015574192523263187,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12431016109093852,0.08640707230887533,2.153944145499005,0.7496156849582459,0.7483182374298998,"[191662.9970354256, 191663.9970354256]",376.1366449864581
