% Model,Untitled.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 11 2026, 15:35"
% Dimension,2
% Nodes,28251
% Expressions,1
% Description,因变量 u
% Length unit,m
% r,z,u (m)
0.026953368682377365,0.06997358643114275,-0.4996367580188111
0.07000136516150621,0.0269905658060537,-0.49754990449789277
0.03229563062228993,0.06663332747554536,-0.4994784961818031
0.06670618891728257,0.032372289332217155,-0.4977751422402337
0.03760415697398405,0.06330638695058129,-0.4992929637495566
0.06355023079508454,0.03769656218561146,-0.49798068414314905
0.04289532605012941,0.05999251033573186,-0.49907999556191046
0.06052694951647183,0.04296852180223698,-0.4981682442513499
0.04821602501674909,0.056745045285936664,-0.4988376075261365
0.05758412330862928,0.04815015159329897,-0.4983420344316521
0.054015995277459594,0.05343637228806514,-0.49854113618738966
0.005398225016922977,0.08999999999999987,-0.49998542964387155
0,0.09333333333333321,-0.5000000000605413
0.08999999999997899,0.005398225016923066,-0.4959500000598695
0.0933333333333124,0,-0.4956444445042647
0.010796328971657061,0.08666645892655056,-0.4999417197008978
0.08666666666664558,0.010796450033846133,-0.49624444450436195
0.016193868553252815,0.0833317236478726,-0.49986887937115726
0.08333333333331217,0.016194675050769203,-0.49652777783774177
0.021588543153495298,0.07999336343912851,-0.4997669674627548
0.07999999999997875,0.021592900067692267,-0.4968000000600094
0.02697347305026862,0.07664921658265901,-0.4996362159362809
0.07666744358949662,0.0269908011520769,-0.4970610516067771
0.032337372965318495,0.07330208695195613,-0.4994771472153019
0.07333925312992075,0.032386828478899225,-0.49731067703526594
0.037675584784277856,0.06995969466176798,-0.49929027521600094
0.07005342644652753,0.037764659558250174,-0.49754625878168385
0.04297717279870578,0.06663831450023705,-0.49907648136949945
0.06691259211734177,0.04307965172532424,-0.49776135256823856
0.04823213336084244,0.06336234845095624,-0.4988368307160766
0.06379645833850706,0.04837239408786734,-0.4979650060119349
0.05344111145092462,0.06006836351043787,-0.4985720238637476
0.060725669384638276,0.05361538414288767,-0.4981561965991293
0.05806651271494072,0.058092140329552365,-0.49831414011082414
0.00539822501692298,0.09666666666666651,-0.4999854296438735
0,0.09999999999999987,-0.5000000000605438
0.0966666666666458,0.005398225016923066,-0.4953277778375477
0.09999999999997922,0,-0.49500000005971695
0.010796450033845958,0.09333333333333317,-0.49994171839386575
0.0933333333333124,0.010796450033846133,-0.49564444450426587
0.016194571846595535,0.0899997261470068,-0.4998688679818725
0.08999999999997899,0.016194675050769203,-0.4959500000598713
0.021591926534521022,0.08666447589063357,-0.4997668944147669
0.08666666666664558,0.021592900067692267,-0.4962444445043648
0.026984316166736008,0.08332525057316575,-0.49963592340098767
0.08333373943459954,0.026990942050782323,-0.49652774399588884
0.03236315857724934,0.07998007113598259,-0.4994763130439058
0.08000175769319662,0.032388613551832,-0.4967998594430107
0.03772116301714706,0.07663143650107176,-0.4992885569907391
0.07667688970709295,0.03778354311147855,-0.497060327352478
0.04305290350428836,0.07328962536119148,-0.4990732238103112
0.07341188012400615,0.043154916014974606,-0.4973053479884256
0.048332444234817425,0.06998901146983547,-0.49883198747749047
0.07025573972971647,0.048485912927631394,-0.4975320655776491
0.05352325980696782,0.06674945486339884,-0.4985676303901217
0.06709101363550303,0.05388339904508882,-0.49774939800485046
0.058462524569471985,0.06368382447034532,-0.4982910666707409
0.06379991303279003,0.05975784751345342,-0.49796478560871055
0.00539822501692298,0.10333333333333317,-0.499985429643876
0,0.10666666666666652,-0.5000000000605455
0.10333333333331263,0.005398225016923066,-0.49466111117077444
0.10666666666664604,0,-0.49431111117071797
0.01079645003384596,0.09999999999999983,-0.49994171839386786
0.09999999999997922,0.010796450033846133,-0.49500000005971806
0.01619467505076894,0.09666666666666651,-0.49986886631052246
0.0966666666666458,0.016194675050769203,-0.4953277778375494
0.021592827637173562,0.09333294107029148,-0.4997668749578211
0.0933333333333124,0.021592900067692267,-0.4956444445042684
0.026989559029662446,0.08999727963001514,-0.49963578191217567
0.09000014257259538,0.026991034974500717,-0.49594998722832945
0.032378826362108745,0.08665739752374206,-0.4994758058621631
0.08666719562372766,0.032389032737808104,-0.4962443986612812
0.03775331161200309,0.08331140691817966,-0.4992873437915883
0.08333603074456232,0.0377861080179423,-0.49652755304984003
0.04310795926629171,0.079961805220834,-0.49907085198433615
0.08001222038119932,0.043178954521910715,-0.49679902235485013
0.04845522450333247,0.07660530818722329,-0.4988260456695139
0.07677524127381292,0.04853766978660775,-0.49705278122373125
0.05372961588808775,0.07331637996126376,-0.49855656424856293
