t_h,C_axis,C_surf,C_bar,T_axis,T_surf,R_cm,C_max
11.083333,0.828577,0.190595,0.530246,49.998934,49.998934,1.258833,0.828577
11.166667,0.819668,0.188345,0.524926,49.998934,49.998934,1.257667,0.819668
11.250000,0.810896,0.186112,0.519687,49.998934,49.998934,1.256500,0.810896
11.333333,0.802259,0.183897,0.514529,49.998934,49.998934,1.255333,0.802259
11.416667,0.793755,0.181692,0.509448,49.998934,49.998934,1.254167,0.793755
11.500000,0.785385,0.179497,0.504451,49.998934,49.998934,1.253000,0.785385
11.583333,0.777146,0.177304,0.499535,49.998934,49.998934,1.252167,0.777146
11.666667,0.769035,0.175106,0.494698,49.998934,49.998934,1.251333,0.769035
11.750000,0.761050,0.172910,0.489940,49.998934,49.998934,1.250500,0.761050
11.833333,0.753191,0.170784,0.485258,49.998934,49.998934,1.249667,0.753191
11.916667,0.745455,0.168719,0.480654,49.998934,49.998934,1.248833,0.745455
12.000000,0.737841,0.166739,0.476124,49.998934,49.998934,1.248000,0.737841
12.083333,0.730347,0.164833,0.471667,49.998934,49.998934,1.247333,0.730347
12.166667,0.722972,0.162963,0.467280,49.998934,49.998934,1.246667,0.722972
12.250000,0.715713,0.161165,0.462961,49.998934,49.998934,1.246000,0.715713
12.333333,0.708570,0.159443,0.458710,49.998934,49.998934,1.245333,0.708570
12.416667,0.701539,0.157706,0.454525,49.998934,49.998934,1.244667,0.701539
12.500000,0.694620,0.155985,0.450405,49.998934,49.998934,1.244000,0.694620
12.583333,0.687810,0.154268,0.446348,49.998934,49.998934,1.243333,0.687810
12.666667,0.681106,0.152565,0.442357,49.998934,49.998934,1.242667,0.681106
12.750000,0.674508,0.150860,0.438428,49.998934,49.998934,1.242000,0.674508
12.833333,0.668013,0.149150,0.434563,49.998934,49.998934,1.241333,0.668013
12.916667,0.661620,0.147485,0.430760,49.998934,49.998934,1.240667,0.661620
13.000000,0.655326,0.145850,0.427018,49.998934,49.998934,1.240000,0.655326
13.083333,0.649130,0.144252,0.423336,49.998934,49.998934,1.239333,0.649130
13.166667,0.643030,0.142722,0.419711,49.998934,49.998934,1.238667,0.643030
13.250000,0.637024,0.141263,0.416142,49.998934,49.998934,1.238000,0.637024
13.333333,0.631110,0.139880,0.412628,49.998934,49.998934,1.237333,0.631110
13.416667,0.625288,0.138499,0.409167,49.998934,49.998934,1.236667,0.625288
13.500000,0.619556,0.137142,0.405758,49.998934,49.998934,1.236000,0.619556
13.583333,0.613911,0.135790,0.402401,49.998934,49.998934,1.235500,0.613911
13.666667,0.608355,0.134408,0.399097,49.998934,49.998934,1.235000,0.608355
13.750000,0.602883,0.132987,0.395845,49.998934,49.998934,1.234500,0.602883
13.833333,0.597497,0.131592,0.392644,49.998934,49.998934,1.234000,0.597497
13.916667,0.592193,0.130245,0.389495,49.998934,49.998934,1.233500,0.592193
14.000000,0.586971,0.128943,0.386396,49.998934,49.998934,1.233000,0.586971
14.083333,0.581827,0.127696,0.383343,49.998934,49.998934,1.232333,0.581827
14.166667,0.576762,0.126519,0.380336,49.998934,49.998934,1.231667,0.576762
14.250000,0.571772,0.125396,0.377374,49.998934,49.998934,1.231000,0.571772
14.333333,0.566857,0.124276,0.374455,49.998934,49.998934,1.230333,0.566857
14.416667,0.562015,0.123171,0.371578,49.998934,49.998934,1.229667,0.562015
14.500000,0.557244,0.122053,0.368744,49.998934,49.998934,1.229000,0.557244
14.583333,0.552543,0.120922,0.365952,49.998934,49.998934,1.228500,0.552543
14.666667,0.547914,0.119786,0.363203,49.998934,49.998934,1.228000,0.547914
14.750000,0.543352,0.118679,0.360495,49.998934,49.998934,1.227500,0.543352
14.833333,0.538858,0.117585,0.357829,49.998934,49.998934,1.227000,0.538858
14.916667,0.534432,0.116511,0.355204,49.998934,49.998934,1.226500,0.534432
15.000000,0.530069,0.115469,0.352618,49.998934,49.998934,1.226000,0.530069
15.083333,0.525773,0.114451,0.350072,49.998934,49.998934,1.225500,0.525773
15.166667,0.521539,0.113492,0.347561,49.998934,49.998934,1.225000,0.521539
15.250000,0.517367,0.112600,0.345085,49.998934,49.998934,1.224500,0.517367
15.333333,0.513258,0.111762,0.342644,49.998934,49.998934,1.224000,0.513258
15.416667,0.509209,0.110896,0.340238,49.998934,49.998934,1.223500,0.509209
15.500000,0.505220,0.110003,0.337867,49.998934,49.998934,1.223000,0.505220
15.583333,0.501290,0.109073,0.335530,49.998934,49.998934,1.222667,0.501290
15.666667,0.497418,0.108129,0.333230,49.998934,49.998934,1.222333,0.497418
15.750000,0.493602,0.107146,0.330965,49.998934,49.998934,1.222000,0.493602
15.833333,0.489843,0.106281,0.328733,49.998934,49.998934,1.221667,0.489843
15.916667,0.486138,0.105535,0.326532,49.998934,49.998934,1.221333,0.486138
16.000000,0.482487,0.104819,0.324362,49.998934,49.998934,1.221000,0.482487
16.083333,0.478889,0.104047,0.322223,49.998934,49.998934,1.220667,0.478889
16.166667,0.475342,0.103259,0.320113,49.998934,49.998934,1.220333,0.475342
16.250000,0.471845,0.102470,0.318033,49.998934,49.998934,1.220000,0.471845
16.333333,0.468399,0.101703,0.315983,49.998934,49.998934,1.219667,0.468399
16.416667,0.465002,0.100959,0.313962,49.998934,49.998934,1.219333,0.465002
16.500000,0.461653,0.100228,0.311969,49.998934,49.998934,1.219000,0.461653
16.583333,0.458352,0.099511,0.310004,49.998934,49.998934,1.218833,0.458352
